reference_id,deposit_status,assigned,recieved_at,university,i20_status,created_at,modified_at
1293327,No,"Brooke Armstrong, Catherine Donahue, Prince Tetteh",2025-05-27,Saint Louis University,Yes,2025-05-27,2025-05-27
1294809,No,,2025-05-27,Saint Louis University,No,2025-05-27,2025-05-27
1294991,No,"Catherine Donahue, Aliia Raitova",2025-05-27,Saint Louis University,Yes,2025-05-27,2025-05-27
1295602,No,Prince Tetteh,2025-05-27,Saint Louis University,No,2025-05-27,2025-05-27
1295627,No,,2025-05-27,Saint Louis University,No,2025-05-27,2025-05-27
1296000,Yes,"Naresh Dama, Catherine Donahue, Prince Tetteh",2025-05-27,Saint Louis University,Yes,2025-05-27,2025-05-27
1297217,No,"Catherine Donahue, Mahi Mishra",2025-05-27,Saint Louis University,Yes,2025-05-27,2025-05-27
1297502,Yes,,2025-05-27,Saint Louis University,No,2025-05-27,2025-05-27
1297789,No,,2025-05-27,Saint Louis University,No,2025-05-27,2025-05-27
1298782,Yes,Cheng Zhang,2025-05-27,Saint Louis University,Yes,2025-05-27,2025-05-27
1298939,No,,2025-05-27,Saint Louis University,No,2025-05-27,2025-05-27
1300287,No,,2025-05-27,Saint Louis University,No,2025-05-27,2025-05-27
1300808,No,,2025-05-27,Saint Louis University,No,2025-05-27,2025-05-27
1301958,Yes,"Naresh Dama, Catherine Donahue",2025-05-27,Saint Louis University,No,2025-05-27,2025-05-27
1302145,No,,2025-05-27,Saint Louis University,No,2025-05-27,2025-05-27
1302200,No,,2025-05-27,Saint Louis University,No,2025-05-27,2025-05-27
1302338,Yes,"Naresh Dama, Aaron Greenberg, Prince Tetteh",2025-05-27,Saint Louis University,Yes,2025-05-27,2025-05-27
1302439,Yes,"Brooke Armstrong, Rebecca Bahan, Naresh Dama, Alexander Mikhailov, Prince Tetteh",2025-05-27,Saint Louis University,Yes,2025-05-27,2025-05-27
1302534,No,,2025-05-27,Saint Louis University,No,2025-05-27,2025-05-27
1303262,Yes,"Naresh Dama, Alexander Mikhailov, Jorge Jesus Pena Cevallos",2025-05-27,Saint Louis University,Yes,2025-05-27,2025-05-27
1303308,Yes,"Naresh Dama, Catherine Donahue, Prince Tetteh",2025-05-27,Saint Louis University,Yes,2025-05-27,2025-05-27
1303520,No,,2025-05-27,Saint Louis University,No,2025-05-27,2025-05-27
1303555,Yes,"Anna Kluemke, Mounika Bhuvana Maheswari Krishnamurthy",2025-04-14,Saint Louis University,Yes,2025-04-14,2025-04-14
1303958,Yes,,2025-05-27,Saint Louis University,No,2025-05-27,2025-05-27
1304276,Yes,"Mounika Bhuvana Maheswari Krishnamurthy, Alexander Mikhailov, Jorge Jesus Pena Cevallos",2025-05-27,Saint Louis University,Yes,2025-05-27,2025-05-27
1305109,Yes,"Aaron Greenberg, Prince Tetteh",2025-05-27,Saint Louis University,Yes,2025-05-27,2025-05-27
1305496,No,,2025-05-27,Saint Louis University,No,2025-05-27,2025-05-27
1305500,No,,2025-05-27,Saint Louis University,No,2025-05-27,2025-05-27
1306127,No,,2025-05-27,Saint Louis University,No,2025-05-27,2025-05-27
1306643,No,,2025-05-27,Saint Louis University,No,2025-05-27,2025-05-27
1306997,Yes,,2025-05-27,Saint Louis University,No,2025-05-27,2025-05-27
1307651,No,,2025-05-27,Saint Louis University,No,2025-05-27,2025-05-27
1308073,No,,2025-05-27,Saint Louis University,No,2025-05-27,2025-05-27
1309032,No,,2025-05-27,Saint Louis University,No,2025-05-27,2025-05-27
1309366,No,,2025-05-27,Saint Louis University,No,2025-05-27,2025-05-27
1309383,Yes,"Naresh Dama, Madeline Schurman",2025-05-27,Saint Louis University,Yes,2025-05-27,2025-05-27
1309463,Yes,"John Ampomah, Naresh Dama, Victoria Dieckman, Catherine Donahue",2025-05-27,Saint Louis University,Yes,2025-05-27,2025-05-27
1309659,No,,2025-05-27,Saint Louis University,No,2025-05-27,2025-05-27
1310473,Yes,"Victoria Dieckman, Prince Tetteh",2025-05-27,Saint Louis University,Yes,2025-05-27,2025-05-27
1310593,Yes,"Catherine Donahue, Aliia Raitova, Prince Tetteh",2025-05-27,Saint Louis University,No,2025-05-27,2025-05-27
1311061,No,,2025-05-27,Saint Louis University,No,2025-05-27,2025-05-27
1311348,No,,2025-05-27,Saint Louis University,No,2025-05-27,2025-05-27
1312172,No,,2025-05-27,Saint Louis University,No,2025-05-27,2025-05-27
1312458,Yes,"Naresh Dama, Catherine Donahue",2025-05-27,Saint Louis University,Yes,2025-05-27,2025-05-27
1312949,No,,2025-05-27,Saint Louis University,No,2025-05-27,2025-05-27
1312956,No,Catherine Donahue,2025-05-27,Saint Louis University,Yes,2025-05-27,2025-05-27
1313024,No,,2025-05-27,Saint Louis University,No,2025-05-27,2025-05-27
1313485,No,,2025-05-27,Saint Louis University,No,2025-05-27,2025-05-27
1313862,Yes,"Naresh Dama, Aaron Greenberg, Prince Tetteh",2025-05-27,Saint Louis University,Yes,2025-05-27,2025-05-27
1314168,No,,2025-05-27,Saint Louis University,No,2025-05-27,2025-05-27
1314216,No,,2025-05-27,Saint Louis University,No,2025-05-27,2025-05-27
1314967,No,,2025-05-27,Saint Louis University,No,2025-05-27,2025-05-27
1314980,Yes,,2025-05-27,Saint Louis University,No,2025-05-27,2025-05-27
1315045,Yes,Prince Tetteh,2025-05-27,Saint Louis University,No,2025-05-27,2025-05-27
1315128,Yes,,2025-05-27,Saint Louis University,No,2025-05-27,2025-05-27
1315463,No,"Catherine Donahue, Prince Tetteh",2025-05-27,Saint Louis University,Yes,2025-05-27,2025-05-27
1315727,Yes,"Mounika Bhuvana Maheswari Krishnamurthy, Alexander Mikhailov, Jorge Jesus Pena Cevallos",2025-04-14,Saint Louis University,Yes,2025-04-14,2025-04-14
1315969,Yes,"Naresh Dama, Anna Kluemke",2025-04-14,Saint Louis University,Yes,2025-04-14,2025-04-14
1316580,Yes,"Naresh Dama, Alexander Mikhailov, Jorge Jesus Pena Cevallos",2025-05-27,Saint Louis University,Yes,2025-05-27,2025-05-27
1316681,Yes,"Catherine Donahue, Jorge Jesus Pena Cevallos",2025-05-27,Saint Louis University,Yes,2025-05-27,2025-05-27
1316704,No,,2025-05-27,Saint Louis University,No,2025-05-27,2025-05-27
1317028,No,,2025-05-27,Saint Louis University,No,2025-05-27,2025-05-27
1317204,No,Aliia Raitova,2025-05-27,Saint Louis University,No,2025-05-27,2025-05-27
1317383,Yes,"Naresh Dama, Victoria Dieckman",2025-05-27,Saint Louis University,Yes,2025-05-27,2025-05-27
1318056,Yes,"Catherine Donahue, Prince Tetteh",2025-05-27,Saint Louis University,No,2025-05-27,2025-05-27
1318272,Yes,"Victoria Dieckman, Alexander Mikhailov, Jorge Jesus Pena Cevallos",2025-05-27,Saint Louis University,Yes,2025-05-27,2025-05-27
1318448,Yes,"Palak Joshi, Anna Kluemke",2025-05-27,Saint Louis University,Yes,2025-05-27,2025-05-27
1318805,Yes,"Catherine Donahue, Mounika Bhuvana Maheswari Krishnamurthy, Jorge Jesus Pena Cevallos",2025-05-27,Saint Louis University,Yes,2025-05-27,2025-05-27
1318942,Yes,"Palak Joshi, Alexander Mikhailov",2025-05-27,Saint Louis University,Yes,2025-05-27,2025-05-27
1319007,Yes,"Naresh Dama, Victoria Dieckman, Alexander Mikhailov",2025-05-27,Saint Louis University,Yes,2025-05-27,2025-05-27
1319413,Yes,"Naresh Dama, Catherine Donahue",2025-05-27,Saint Louis University,Yes,2025-05-27,2025-05-27
1319478,Yes,"Alexander Mikhailov, Jorge Jesus Pena Cevallos",2025-05-27,Saint Louis University,Yes,2025-05-27,2025-05-27
1319662,No,,2025-05-27,Saint Louis University,No,2025-05-27,2025-05-27
1319991,Yes,"Anna Kluemke, Mounika Bhuvana Maheswari Krishnamurthy",2025-05-27,Saint Louis University,Yes,2025-05-27,2025-05-27
1320119,Yes,"Brooke Armstrong, Alexander Mikhailov, Prince Tetteh",2025-05-27,Saint Louis University,Yes,2025-05-27,2025-05-27
1320250,Yes,"Catherine Donahue, Palak Joshi",2025-05-27,Saint Louis University,Yes,2025-05-27,2025-05-27
1320553,Yes,"Victoria Dieckman, Jason Marquart, Prince Tetteh",2025-05-27,Saint Louis University,Yes,2025-05-27,2025-05-27
1320558,Yes,Palak Joshi,2025-05-27,Saint Louis University,No,2025-05-27,2025-05-27
1320574,No,,2025-05-27,Saint Louis University,No,2025-05-27,2025-05-27
1320577,Yes,"Anna Kluemke, Mounika Bhuvana Maheswari Krishnamurthy",2025-05-27,Saint Louis University,Yes,2025-05-27,2025-05-27
1320578,No,,2025-05-27,Saint Louis University,No,2025-05-27,2025-05-27
1320700,No,,2025-05-27,Saint Louis University,No,2025-05-27,2025-05-27
1321698,Yes,"Alexander Mikhailov, Prince Tetteh",2025-05-27,Saint Louis University,Yes,2025-05-27,2025-05-27
1321726,Yes,"Catherine Donahue, Palak Joshi, Alexander Mikhailov, Prince Tetteh",2025-05-27,Saint Louis University,Yes,2025-05-27,2025-05-27
1321802,Yes,"Catherine Donahue, Palak Joshi",2025-05-27,Saint Louis University,Yes,2025-05-27,2025-05-27
1321867,Yes,"Palak Joshi, Alexander Mikhailov",2025-05-27,Saint Louis University,Yes,2025-05-27,2025-05-27
1321895,Yes,"Catherine Donahue, Prince Tetteh",2025-05-27,Saint Louis University,Yes,2025-05-27,2025-05-27
1322263,No,,2025-05-27,Saint Louis University,No,2025-05-27,2025-05-27
1322818,No,,2025-05-27,Saint Louis University,No,2025-05-27,2025-05-27
1322856,No,"Catherine Donahue, Palak Joshi, Prince Tetteh",2025-05-27,Saint Louis University,Yes,2025-05-27,2025-05-27
1323027,No,,2025-05-27,Saint Louis University,No,2025-05-27,2025-05-27
1323035,No,,2025-05-27,Saint Louis University,No,2025-05-27,2025-05-27
1323064,Yes,,2025-05-27,Saint Louis University,No,2025-05-27,2025-05-27
1323274,Yes,"Alexander Mikhailov, Prince Tetteh",2025-05-27,Saint Louis University,Yes,2025-05-27,2025-05-27
1323299,No,"Catherine Donahue, Prince Tetteh",2025-05-27,Saint Louis University,Yes,2025-05-27,2025-05-27
1323378,Yes,,2025-05-27,Saint Louis University,No,2025-05-27,2025-05-27
1323714,No,,2025-05-27,Saint Louis University,No,2025-05-27,2025-05-27
1323716,No,,2025-05-27,Saint Louis University,No,2025-05-27,2025-05-27
1323824,No,,2025-05-27,Saint Louis University,No,2025-05-27,2025-05-27
1323999,Yes,"Catherine Donahue, Mounika Bhuvana Maheswari Krishnamurthy",2025-05-27,Saint Louis University,Yes,2025-05-27,2025-05-27
1324003,Yes,"Palak Joshi, Anna Kluemke",2025-05-27,Saint Louis University,No,2025-05-27,2025-05-27
1324269,Yes,"Catherine Donahue, Mounika Bhuvana Maheswari Krishnamurthy",2025-05-27,Saint Louis University,Yes,2025-05-27,2025-05-27
1324361,No,"Catherine Donahue, Yewon Kim",2025-05-27,Saint Louis University,Yes,2025-05-27,2025-05-27
1324380,Yes,"Nikhil Aggarwal, Catherine Donahue, Mounika Bhuvana Maheswari Krishnamurthy, Jorge Jesus Pena Cevallos",2025-05-27,Saint Louis University,Yes,2025-05-27,2025-05-27
1324478,Yes,"Aaron Greenberg, Prince Tetteh",2025-05-27,Saint Louis University,Yes,2025-05-27,2025-05-27
1324556,Yes,"Mounika Bhuvana Maheswari Krishnamurthy, Alexander Mikhailov",2025-05-27,Saint Louis University,Yes,2025-05-27,2025-05-27
1324641,Yes,"Naresh Dama, Cheng Zhang",2025-05-27,Saint Louis University,Yes,2025-05-27,2025-05-27
1324763,No,,2025-05-27,Saint Louis University,No,2025-05-27,2025-05-27
1324918,Yes,"Rebecca Bahan, Mounika Bhuvana Maheswari Krishnamurthy, Alexander Mikhailov, Jorge Jesus Pena Cevallos",2025-05-27,Saint Louis University,Yes,2025-05-27,2025-05-27
1325153,Yes,"Naresh Dama, Catherine Donahue",2025-05-27,Saint Louis University,Yes,2025-05-27,2025-05-27
1325223,Yes,,2025-05-27,Saint Louis University,No,2025-05-27,2025-05-27
1325308,Yes,"Susan Imbeah, Jorge Jesus Pena Cevallos",2025-04-14,Saint Louis University,Yes,2025-04-14,2025-04-14
1325471,Yes,"Yewon Kim, Alexander Mikhailov, Lavanya Thulasigam",2025-05-27,Saint Louis University,Yes,2025-05-27,2025-05-27
1325617,No,,2025-05-27,Saint Louis University,No,2025-05-27,2025-05-27
1325787,No,"Yewon Kim, Madeline Schurman",2025-05-27,Saint Louis University,No,2025-05-27,2025-05-27
1326002,No,Aliia Raitova,2025-05-27,Saint Louis University,No,2025-05-27,2025-05-27
1326010,Yes,"Catherine Donahue, Jorge Jesus Pena Cevallos",2025-05-27,Saint Louis University,Yes,2025-05-27,2025-05-27
1326145,No,,2025-05-27,Saint Louis University,No,2025-05-27,2025-05-27
1326152,Yes,"Mounika Bhuvana Maheswari Krishnamurthy, Alexander Mikhailov",2025-05-27,Saint Louis University,Yes,2025-05-27,2025-05-27
1326237,Yes,"Catherine Donahue, Jorge Jesus Pena Cevallos",2025-05-27,Saint Louis University,Yes,2025-05-27,2025-05-27
1326270,No,,2025-05-27,Saint Louis University,No,2025-05-27,2025-05-27
1326276,Yes,"Catherine Donahue, Palak Joshi",2025-05-27,Saint Louis University,Yes,2025-05-27,2025-05-27
1326340,Yes,"Catherine Donahue, Palak Joshi",2025-05-27,Saint Louis University,No,2025-05-27,2025-05-27
1326450,Yes,"Catherine Donahue, Palak Joshi, Prince Tetteh",2025-05-27,Saint Louis University,Yes,2025-05-27,2025-05-27
1326497,No,,2025-05-27,Saint Louis University,No,2025-05-27,2025-05-27
1326821,No,,2025-05-27,Saint Louis University,No,2025-05-27,2025-05-27
1327111,Yes,"Alexander Mikhailov, Jorge Jesus Pena Cevallos",2025-05-27,Saint Louis University,Yes,2025-05-27,2025-05-27
